instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,depth,fullOB,1,40,3.13307,17739,0.406717,2.46189,0.100886,1567,4,19,12.7184,760,44,27,0.0027853,0.00267031,3.03507,0.00297629,0.00982221,0.000147078
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,depth,noOB,1,40,3.76804,21948,0.50549,2.9498,0.132553,1577,4,19,13.0659,512,88,189,0.00248221,0.00398632,3.66915,0.000297878,0.00684773,0.000164287
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,breadth,coneOB,1,40,2.51027,13950,0.0677079,2.07272,0.142743,1647,4,19,12.9454,710,30,84,0.00344701,0.00306579,2.35352,0.000313203,0.0476137,0.000440199
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,breadth,fullOB,1,40,2.53388,14147,0.0690183,2.07991,0.141007,1769,4,19,12.9796,823,29,79,0.00337869,0.00276589,2.36476,0.00132971,0.0486796,0.000441978
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,breadth,noOB,1,40,2.78286,15546,0.0793556,2.31104,0.16166,1697,4,19,13.0506,551,72,226,0.00210554,0.0036228,2.62302,0.000323561,0.0466399,0.000415758
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,depth,coneOB,1,40,2.3278,12620,0.0630372,1.93655,0.119596,1493,4,19,12.9143,667,44,36,0.0030997,0.00259681,2.1794,0.000458202,0.0407488,0.000185401
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,depth,fullOB,1,40,2.20141,12184,0.0574427,1.82162,0.116412,1567,4,19,12.7184,760,44,27,0.00309642,0.0026301,2.05888,0.00275789,0.0433637,0.000179663
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,depth,noOB,1,40,2.71369,14275,0.0796032,2.2971,0.137427,1577,4,19,13.0659,512,88,189,0.00235029,0.00337693,2.58472,0.000288495,0.0391776,0.000199277
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,breadth,coneOB,1,110,7.01099,42301,0.80007,5.59776,0.25289,2933,3,21,13.8228,1228,60,179,0.0175844,0.00988306,6.78921,0.00100017,0.0259458,0.000573735
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,breadth,fullOB,1,110,7.38731,42521,0.891995,5.85092,0.258335,3229,3,21,13.8513,1471,62,195,0.0185724,0.00939375,7.1557,0.00520174,0.0296133,0.00074283
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,breadth,noOB,1,110,8.21499,48672,1.04444,6.51904,0.281707,3119,3,22,14.159,910,183,467,0.00786138,0.0119501,7.98876,0.00054855,0.0144836,0.000493044
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,depth,coneOB,1,110,6.78368,41088,0.827973,5.31652,0.248416,3087,3,21,14.2578,1338,107,99,0.0141283,0.0113465,6.53751,0.00167511,0.0368096,0.000307925
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,depth,fullOB,1,110,6.66009,40920,0.824466,5.1741,0.239503,3461,3,21,14.1137,1672,106,86,0.0133396,0.0111195,6.38479,0.0122306,0.0424201,0.000372562
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,depth,noOB,1,110,7.79856,49667,1.06244,6.07779,0.28615,3423,3,22,14.6466,1022,280,410,0.01206,0.0143086,7.59256,0.000550685,0.0140593,0.000337127
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,breadth,coneOB,1,110,5.04562,28136,0.129758,4.18362,0.292302,2935,3,21,13.8263,1229,60,179,0.018515,0.00829012,4.73625,0.00102937,0.102976,0.000825561
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,breadth,fullOB,1,110,5.39381,28731,0.131668,4.49263,0.292321,3231,3,21,13.8543,1472,62,195,0.0178823,0.0078475,5.0589,0.00474118,0.109777,0.000897492
